Serial Number,List Year,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type
2020348,2020,Ansonia,230 WAKELEE AVE,150500,325000,0.463,Commercial,Residential Type
20002,2020,Ashford,390 TURNPIKE RD,253000,430000,0.5883,Residential,Single Family
200212,2020,Avon,5 CHESTNUT DRIVE,130400,179900,0.7248,Residential,Condo
200243,2020,Avon,111 NORTHINGTON DRIVE,619290,890000,0.6958,Residential,Single Family
200377,2020,Avon,70 FAR HILLS DRIVE,862330,1447500,0.5957,Residential,Single Family
200109,2020,Avon,57 FAR HILLS DRIVE,847520,1250000,0.678,Residential,Single Family
2020180,2020,Berlin,1539 FARMINGTON AVE,234200,130000,1.8015,Residential,Two Family
2020313,2020,Berlin,216 WATCH HILL RD,412000,677500,0.6081,Residential,Single Family
200097,2020,Bethany,23 AMITY RD,511000,795000,0.6427,Commercial,Single Family
20139,2020,Bethel,16 DEEPWOOD DRIVE,171360,335000,0.5115,Residential,Single Family
200086,2020,Bethlehem,39 WOODLAND RD,168900,352000,0.4798,Residential,Single Family
2000381,2020,Bloomfield,9 SADDLE RIDGE,163730,250000,0.6549,Residential,Condo
200258,2020,Branford,34 SUNRISE COVE CAMP,530500,700000,0.7578,Residential,Single Family
200804,2020,Branford,119 MONTOWESE ST,455100,650000,0.7001,Commercial,Single Family
201295,2020,Bristol,609 CAMP ST,144340,249900,0.5775,Residential,Single Family
200032,2020,Bristol,9 LESLIE COURT,94920,155000,0.6123,Residential,Single Family
200354,2020,Bristol,391 TIFFANY LA,173740,299000,0.581,Residential,Single Family
200527,2020,Bristol,25 WARD ST,85680,183000,0.4681,Residential,Two Family
201212,2020,Bristol,8 JENNINGS TERR,88060,91000,0.9676,Residential,Single Family
20000050,2020,Brookfield,4 CHELSEA CT,105110,160000,0.6569,Residential,Condo
20000179,2020,Brookfield,72 HOMESTEAD LN,94770,170000,0.5574,Residential,Condo
200042,2020,Canaan,93 MAIN ST,355800,599000,0.5939,Residential,Two Family
200117,2020,Canton,52 COUNTRY LANE,160850,280000,0.5744,Residential,Single Family
2000230,2020,Cheshire,50 ABBEY CT,210940,365000,0.5779,Residential,Single Family
2000330,2020,Cheshire,844 HIGHLAND AVE,144220,204000,0.7069,Residential,Single Family
200078,2020,Chester,6 SUNSET AVE,250100,418800,0.5971,Residential,Single Family
200268,2020,Colchester,347 CABIN RD,104000,350000,0.2971,Vacant Land,Single Family
200035,2020,Colchester,160 SHADBUSH DR,223900,392000,0.5711,Residential,Single Family
200024,2020,Columbia,WEBSTER LANE,60300,75000,0.804,Vacant Land,Single Family
200074,2020,Cornwall,131 KENT RD,246100,385000,0.6392,Commercial,Single Family
200101,2020,Coventry,74 LAKEVIEW DR,142800,245000,0.5828,Residential,Single Family
200282,2020,Coventry,1467 SOUTH ST,359800,480000,0.7495,Commercial,Single Family
200039,2020,Coventry,2075 MAIN ST,43700,25000,1.748,Vacant Land,Single Family
201328,2020,Cromwell,6 BELHAVEN,410670,740000,0.5549,Residential,Condo
200077,2020,Cromwell,60 NORTH RD,174650,259000,0.6743,Vacant Land,Condo
200195,2020,Cromwell,34 SHUNPIKE ROAD,3360000,5214750,0.6443,Commercial,Condo
200742,2020,Danbury,17 OHEHYAHTAH PL,339100,550000,0.6165,Residential,Single Family
200886,2020,Danbury,86 MERRIMAC ST B,189800,240000,0.7908,Residential,Condo
200938,2020,Danbury,15-17 BOUGHTON ST #1-5,118900,230000,0.5169,Residential,Condo
201018,2020,Danbury,55 FOREST AV,136900,150000,0.9126,Residential,Single Family
201186,2020,Danbury,28 MAIN ST,695500,3200000,0.2173,Commercial,Single Family
201443,2020,Danbury,4 COOPER RD,158700,325000,0.4883,Residential,Single Family
201580,2020,Danbury,25 CROWN ST,192300,525000,0.3663,Residential,Two Family
200408,2020,Danbury,15 SCUPPO RD 1503,130800,260000,0.503,Residential,Condo
20129,2020,Derby,196 ELIZABETH ST,351260,873000,0.4023,Commercial,Condo
20013,2020,Eastford,GENERAL LYON RD,2200,20000,0.11,Vacant Land,Condo
200215,2020,East Haddam,SHANAGHAN RD,51690,65000,0.7952,Vacant Land,Condo
200242,2020,East Haven,130 COE AVE #51,28240,73000,0.3868,Residential,Condo
200194,2020,East Lyme,5 ROCCO DR,170660,220000,0.7757,Vacant Land,Condo
200236,2020,East Lyme,8 N EDGEWOOD RD,238140,421000,0.5656,Residential,Single Family
200320,2020,East Lyme,9 FREEDOM WAY,776230,1525000,0.509,Commercial,Single Family
200499,2020,East Lyme,27 SEA CREST AVE,233660,517000,0.4519,Residential,Single Family
200510,2020,East Lyme,3 CARLISE LN,212100,390500,0.5431,Residential,Condo
200109,2020,Easton,50 RIVERSIDE LANE,165400,300000,0.5513,Vacant Land,Condo
200305,2020,Enfield,15 SALERNO DR,233660,410000,0.5699,Residential,Single Family
200537,2020,Enfield,104 BREWSTER RD,117380,245000,0.4791,Residential,Single Family
200652,2020,Enfield,12 KELLY DR,203470,360000,0.5651,Residential,Single Family
200700,2020,Enfield,8 SHANNON DR,161590,310000,0.5212,Residential,Single Family
200226,2020,Enfield,106 RAFFIA RD,145570,240000,0.6065,Residential,Single Family
200125,2020,Essex,35 DEER LA,220500,425000,0.5188,Residential,Single Family
200140,2020,Essex,14 ESSEX GLEN DR #12,335800,520000,0.6457,Residential,Condo
200055,2020,Essex,HILLSIDE DR,5600,5000,1.12,Vacant Land,Condo
200020,2020,Groton,98 EAST SHORE AVE,654570,990000,0.6612,Residential,Single Family
200098,2020,Groton,70 ATLANTIC AVE,354550,742500,0.4775,Residential,Single Family
200285,2020,Guilford,30 GRANITE RD,77840,150000,0.5189,Residential,Condo
200080,2020,Guilford,2 WINTERBERRY RD,239550,480000,0.499,Residential,Single Family
20360,2020,Hartford,1301 MAIN ST,173670,439900,0.3947,Commercial,Single Family
20522,2020,Hartford,26 BRANFORD ST,35875,165000,0.2174,Residential,Single Family
20565,2020,Hartford,31 EATON ST,61915,249000,0.2486,Residential,Two Family
20614,2020,Hartford,55 STERLING ST,52500,220000,0.2386,Residential,Two Family
20750,2020,Hartford,3371 MAIN ST,126560,180000,0.7031,Commercial,Two Family
20899,2020,Hartford,159 RUSS ST,137270,278500,0.4928,Apartments,Two Family
201023,2020,Hartford,410 MARKET ST,435610,525000,0.8297,Commercial,Two Family
201129,2020,Hartford,20 GIDDINGS ST,114954,360000,0.3193,Residential,Two Family
200065,2020,Harwinton,WHETSTONE RD,55380,85000,0.6515,Vacant Land,Two Family
200125,2020,Harwinton,167 BIRGE PARK RD,194790,360000,0.541,Residential,Single Family
200230,2020,Killingly,152 NORTH ST,143220,150000,0.9548,Apartments,Single Family
200043,2020,Killingworth,46 TITUS COAN ROAD,354040,645000,0.5488,Residential,Single Family
20059,2020,Lebanon,54 FIRST ST,121510,229900,0.5285,Residential,Single Family
20041,2020,Lisbon,17 BARBER FARM RD,76880,90000,0.8542,Vacant Land,Single Family
200052,2020,Litchfield,68 BEACH ST,149570,200000,0.7478,Residential,Two Family
200010,2020,Lyme,0 STERLING HILL RD,101100,250000,0.4044,Vacant Land,Two Family
200709,2020,Manchester,152 GREEN ROAD,138100,282500,0.4888,Residential,Single Family
200175,2020,Milford,16 SEABREEZE AVE,180950,325000,0.5567,Residential,Condo
200275,2020,Milford,0 EDGEWATER PL,119000,300000,0.3966,Vacant Land,Condo
20014,2020,Monroe,22 MEADOWVIEW TER,189100,305000,0.62,Residential,Single Family
2000296,2020,Naugatuck,464 MULBERRY ST,114660,195000,0.588,Residential,Single Family
2000327,2020,Naugatuck,31 PILGRIM LN,157810,276500,0.5707,Residential,Single Family
2000473,2020,Naugatuck,33 FAIRCHILD ST,98900,184500,0.536,Residential,Single Family
2000022,2020,Naugatuck,41 ANDERSON ST,108070,193500,0.5585,Residential,Three Family
20513,2020,New Britain,32 HIGHLAND TERR,97580,163300,0.5975,Residential,Single Family
20761,2020,New Britain,150 GOLD ST,212310,450000,0.4718,Apartments,Single Family
201057,2020,New Britain,5 ARCH ST,264390,400000,0.6609,Commercial,Single Family
201133,2020,New Britain,103 LEWIS RD,123480,235000,0.5254,Residential,Single Family
20086,2020,New Britain,23 PARKMORE ST,122220,223000,0.548,Residential,Single Family
200338,2020,New Canaan,116 ROCKY BROOK RD,620760,850000,0.7303,Residential,Single Family
200661,2020,New Canaan,322 MAIN ST,1279460,2400000,0.5331,Residential,Single Family
200155,2020,New Fairfield,6 BARNBROOK RD,126100,199900,0.6308,Vacant Land,Single Family
200264,2020,New Fairfield,10 BROOK DR,107500,240000,0.4479,Residential,Single Family
200145,2020,New Hartford,82 NILES ROAD,238980,460000,0.5195,Residential,Single Family
200419,2020,New Haven,769 DIXWELL AV,74200,190000,0.3905,Residential,Two Family
200953,2020,New Haven,44 FRONT ST,64470,105000,0.614,Residential,Condo
201207,2020,New Haven,40 TEMPLE CT # 40,368130,850000,0.433,Residential,Condo
201440,2020,New Haven,889 CONGRESS AV,80150,214000,0.3745,Residential,Two Family
200176,2020,New Haven,36 HARDING PL,35840,35000,1.024,Vacant Land,Two Family
200192,2020,New Haven,459 BLATCHLEY AV,71150,170000,0.4185,Residential,Two Family
201176,2020,New London,400 BANK ST UNIT 201,165550,191000,0.8667,Residential,Condo
20274,2020,Newtown,16 SILVER BROOK LANE,419590,779000,0.5386,Residential,Single Family
20742,2020,Newtown,157 HANOVER ROAD,325640,508000,0.641,Residential,Single Family
20771,2020,Newtown,3 SHORT HILL ROAD,451770,910000,0.4965,Residential,Single Family
202281,2020,North Haven,108 MULHOLLAND WAY,276010,443165,0.6228,Residential,Condo
201007,2020,Norwalk,29 GREGORY BLVD,261800,450000,0.5817,Residential,Single Family
202611,2020,Norwalk,126 WASHINGTON ST UNIT R203,144380,217500,0.6638,Residential,Condo
202876,2020,Norwalk,17 HADIK PKWY,256270,355000,0.7218,Residential,Single Family
200289,2020,Norwalk,188 FLAX HILL RD UNIT B/6,173040,330000,0.5243,Residential,Condo
200364,2020,Norwich,44 NORWICH AVE #22,1100,1983200,0.0005,Vacant Land,Condo
