Date,Open,High,Low,Close,Adj Close,Volume
2021-11-22,50.630001,51.110001,49.730000,50.340000,48.873283,28549400
2021-11-23,50.709999,51.740002,50.700001,51.400002,49.902393,28024400
2021-11-24,51.509998,51.740002,51.180000,51.310001,49.815018,18901900
2021-11-26,49.099998,49.099998,47.689999,48.430000,47.018929,29919300
2021-11-29,49.669998,49.770000,48.310001,49.160000,47.727661,27677000
2021-11-30,48.110001,48.509998,47.320000,47.779999,46.387871,40671700
2021-12-01,48.689999,49.450001,47.180000,47.209999,45.834476,29365100
2021-12-02,47.730000,49.400002,47.509998,48.910000,47.484947,29184900
2021-12-03,49.259998,49.259998,47.369999,47.750000,46.358742,29221900
2021-12-06,48.980000,49.900002,48.709999,48.810001,47.387859,31650100
2021-12-07,49.459999,50.520000,49.340000,50.250000,48.785900,28370200
2021-12-08,50.180000,50.310001,49.320000,49.410000,47.970375,19990300
2021-12-09,49.020000,50.029999,48.740002,49.689999,48.242214,16927200
2021-12-10,50.290001,50.599998,49.580002,50.200001,48.737362,20040900
2021-12-13,49.900002,49.959999,48.430000,48.560001,47.145149,19598900
2021-12-14,48.610001,49.490002,48.599998,48.889999,47.465527,17602900
2021-12-15,49.020000,49.270000,48.130001,48.939999,47.514069,20284300
2021-12-16,49.720001,50.820000,49.310001,50.299999,48.834442,32781100
2021-12-17,49.700001,49.730000,47.869999,47.950001,46.552917,74833400
2021-12-20,47.060001,47.169998,46.250000,46.849998,45.484966,29134900
2021-12-21,47.590000,48.139999,47.340000,47.810001,46.416996,21249400
2021-12-22,47.740002,48.320000,47.619999,48.029999,46.630581,15688000
2021-12-23,48.400002,48.930000,48.220001,48.360001,46.950970,16025600
2021-12-27,48.549999,48.820000,48.080002,48.770000,47.349030,11900400
2021-12-28,48.560001,49.189999,48.360001,48.419998,47.009220,14320500
2021-12-29,48.599998,48.860001,48.369999,48.450001,47.038345,14390700
2021-12-30,48.490002,48.910000,48.040001,48.099998,46.698540,13701300
2021-12-31,48.029999,48.360001,47.840000,47.980000,46.582039,12649300
2022-01-03,48.930000,50.810001,48.919998,50.730000,49.251919,38978100
2022-01-04,51.580002,53.150002,51.520000,52.750000,51.213062,43855100
2022-01-05,52.919998,53.139999,52.000000,52.290001,50.766464,35072600
2022-01-06,53.150002,53.669998,52.660000,53.630001,52.067417,29720800
2022-01-07,53.860001,55.189999,53.799999,54.770000,53.174206,35149300
2022-01-10,55.500000,56.060001,54.480000,55.349998,53.737309,34733500
2022-01-11,55.560001,56.130001,55.230000,56.060001,54.426624,25073700
2022-01-12,56.410000,56.709999,55.759998,56.400002,54.756718,34159400
2022-01-13,56.599998,57.180000,55.759998,56.000000,54.368366,34037300
2022-01-14,56.849998,58.869999,56.389999,58.060001,56.368347,56739600
